DATASET,ID,SMILES_Curado,Score_vina,S_moe,E_score1_moe,E_score2_moe,rmsd_refine_moe,ID_moe,ID_Score_Vina,SA score
LCS_2000,LCS_2000_456,NCCC(N)(N)c1cccc(Oc2cnc(COCN)nc2N)c1C(N)=O,-6.094,-6.6982546,-13.693029,-6.6982546,3.1532464,No_8_288,No_8_288_out,3.379
LCS_2000,LCS_2000_457,CCc1c(-c2cc(O)nc(CN(C(=O)CN)c3ccc(CCCO)cc3)c2)c(=O)c1=O,-7.703,-6.5851355,-11.146286,-6.5851355,1.7557836,No_8_289,No_8_289_out,3.006
LCS_2000,LCS_2000_458,CNCc1nc([C@@H](O)CN)nn1C(=O)Oc1cc(CN)ccc1C(N)=O,-6.121,-6.2151423,-12.001389,-6.2151423,1.6026126,No_8_301,No_8_301_out,3.56
LCS_2000,LCS_2000_459,NC[C@@H](O)c1cccc(Oc2cnc(CNCO)nc2N)c1C(N)=O,-6.408,-6.5340233,-13.481636,-6.5340233,1.6138662,No_8_315,No_8_315_out,3.507
LCS_2000,LCS_2000_460,CC[C@@H](O)C(=O)c1cccc(Oc2cnc(CNCN)nc2N)c1C(N)=O,-6.267,-6.5257401,-12.393727,-6.5257401,2.5301867,No_8_322,No_8_322_out,3.551
LCS_2000,LCS_2000_461,CNCCCCc1ncc(Oc2cccc(C(N)(N)CCN)c2C(N)=O)c(N)n1,-6.119,-6.6850643,-13.822843,-6.6850643,1.9968009,No_8_326,No_8_326_out,3.171
LCS_2000,LCS_2000_462,COCc1ncc(Oc2cccc(C(=O)CN)c2C(N)=O)c(N)n1,-5.765,-5.955442,-11.261437,-5.955442,3.62517,No_8_333,No_8_333_out,2.778
LCS_2000,LCS_2000_463,CCc1c(-c2cc(O)nc(CN(C(=O)CN)c3cccc(CC(C)=O)c3)c2)c(=O)c1=O,-7.569,-7.0996847,-9.7848768,-7.0996847,0.87380135,No_8_348,No_8_348_out,3.09
LCS_2000,LCS_2000_464,CNCc1ccc(Nc2cccc(CN)c2)cc1NC(=O)c1cc(CN)co1,-7.495,-7.436646,-14.409492,-7.436646,2.3671625,No_8_349,No_8_349_out,2.574
LCS_2000,LCS_2000_465,NCCCc1ncc(Oc2ccc([C@](N)(CCO)C(N)=O)cc2C(N)=O)c(N)n1,-7.495,-7.436646,-14.409492,-7.436646,2.3671625,No_8_349,No_8_349_out,3.524
LCS_2000,LCS_2000_466,NCCN[C@@H](N)c1cccc(Oc2cnc(CO)nc2N)c1C(N)=O,-6.014,-6.1346488,-14.469958,-6.1346488,2.0104194,No_8_354,No_8_354_out,3.572
LCS_2000,LCS_2000_467,NC[C@@H](N)C(=O)c1cccc(Oc2cncnc2N)c1C(N)=O,-5.694,-6.0009408,-11.316692,-6.0009408,1.4622303,No_8_360,No_8_360_out,3.233
LCS_2000,LCS_2000_468,CNC(=O)CN[C@@H](N)c1cccc(Oc2cnc(CO)nc2N)c1C(N)=O,-6.637,-6.493567,-12.245701,-6.493567,1.2815014,No_8_361,No_8_361_out,3.528
LCS_2000,LCS_2000_469,NC(=O)c1c(Oc2cncnc2N)cccc1C(N)(N)c1ccccc1N,-6.536,-6.1480646,-10.461561,-6.1480646,1.1010118,No_8_362,No_8_362_out,2.902
LCS_2000,LCS_2000_470,NC(=O)c1c(Oc2cnc(COCCO)nc2N)cccc1C(N)N,-7.959,-6.2778826,-12.820312,-6.2778826,1.665053,No_8_363,No_8_363_1_out,2.959
LCS_2000,LCS_2000_471,NC(N)Nc1ccc(C(=O)c2ncc3cc(CO)[nH]c3n2)c(O)c1,-7.959,-6.2778826,-12.820312,-6.2778826,1.665053,No_8_363,No_8_363_1_out,3.173
LCS_2000,LCS_2000_472,COCCN[C@@H](N)c1cccc(Oc2cnc(CO)nc2N)c1C(N)=O,-6.14,-6.3865504,-12.660517,-6.3865504,1.0198039,No_8_381,No_8_381_out,3.492
LCS_2000,LCS_2000_473,CCCCC[C@H](O)Cc1ccc(CO)c(OC(=O)CNc2nn[nH]n2)c1,-6.795,-6.4649668,-10.257788,-6.4649668,0.80188489,No_8_383,No_8_383_out,3.165
LCS_2000,LCS_2000_474,NC(=O)CCCN[C@@H](N)c1cccc(Oc2cnc(CO)nc2N)c1C(N)=O,-6.742,-6.9398952,-13.095227,-6.9398952,0.95826823,No_8_389,No_8_389_out,3.526
LCS_2000,LCS_2000_475,CCC(=O)OCc1ncc(Oc2cccc(C(=O)CN)c2C(N)=O)c(N)n1,-5.951,-6.4438701,-9.7196264,-6.4438701,1.9302368,No_8_390,No_8_390_out,2.835
