DATASET,ID,SMILES_Curado,Score_vina,S_moe,E_score1_moe,E_score2_moe,rmsd_refine_moe,ID_moe,ID_Score_Vina,SA score
UNPDA_100,UNPDA_100_1,NCc1cccc(C(N)=O)c1-c1nnc(CO)[nH]1,-5.78,-5.4403415,-11.930414,-5.4403415,0.53179836,No_1_460,No_1_460_out,2.987
UNPDA_100,UNPDA_100_2,NCc1nnc(-c2c(CN)cccc2C(N)=O)[nH]1,-5.566,-5.4956355,-13.138424,-5.4956355,1.5780183,No_2_151,No_2_151_out,3.013
UNPDA_100,UNPDA_100_3,NCc1cccc(C(N)=O)c1-c1nnc(C(=O)CO)[nH]1,-6.375,-5.8220177,-11.859586,-5.8220177,1.4405118,No_2_496,No_2_496_out,3.108
UNPDA_100,UNPDA_100_4,CNC[C@@H](Nc1cc([NH])cc(C(N)=O)n1)C(=O)OCCO,-5.61,-5.8062248,-10.677494,-5.8062248,3.8217146,No_3_593,No_3_593_out,3.683
UNPDA_100,UNPDA_100_5,[NH]c1cc(N[C@@H](CC(N)=O)C(=O)CO)nc(C(N)=O)c1,-6.574,-5.756434,-9.8246422,-5.756434,1.2800903,No_4_514,No_4_514_out,3.685
UNPDA_100,UNPDA_100_6,N=C(N)N(c1cccc(C(=O)O)c1)c1cccc(-c2nnc(CO)[nH]2)c1C(N)=O,-7.567,-6.6062279,-11.672215,-6.6062279,2.7278478,No_5_297,No_5_297_out,3.122
UNPDA_100,UNPDA_100_7,C[C@@H](CCOC(=O)Cc1ccccc1OC(=O)c1cc(CN)n[nH]1)C(=O)O,-6.88,-6.2106853,-10.907024,-6.2106853,1.8930658,No_5_337,No_5_337_out,3.17
UNPDA_100,UNPDA_100_8,NCc1cccc(C(N)=O)c1-c1nnc(C(N)=O)[nH]1,-6.152,-5.4087667,-11.923689,-5.4087667,1.339488,No_5_97,No_5_97_out,3.021
UNPDA_100,UNPDA_100_9,NCCCCc1noc(C(=O)c2ccc(C(=O)OCC(=O)CCO)cc2O)n1,-6.827,-6.7444129,-12.180063,-6.7444129,1.8736409,No_6_327,No_6_327_out,2.767
UNPDA_100,UNPDA_100_10,[NH]C[C@@H](CCOC(=O)Cc1ccccc1OC(=O)c1cc(CN)n[nH]1)C(=O)O,-6.652,-7.2670197,-14.24143,-7.2670197,4.2995763,No_6_636,No_6_636_out,3.514
UNPDA_100,UNPDA_100_11,CCCCNCc1noc(C(=O)c2ccc(C(=O)OCC(=O)CCO)cc2O)n1,-7.108,-6.6226931,-11.542164,-6.6226931,2.4906652,No_7_136,No_7_136_out,2.764
UNPDA_100,UNPDA_100_12,CCc1cc([NH])cc([C@@H](Nc2cc(CO)n[nH]2)C(=O)CN)c1,-6.565,-5.8681145,-10.714886,-5.8681145,1.0022371,No_7_142,No_7_142_out,4.205
UNPDA_100,UNPDA_100_13,NCCc1nnc(-c2c(CN)cccc2C(=O)CNCC(=O)NC(=O)CO)[nH]1,-6.418,-6.5934892,-15.432165,-6.5934892,2.2404325,No_7_563,No_7_563_out,3.253
UNPDA_100,UNPDA_100_14,CCc1cccc(OC(=O)c2cc(CN)n[nH]2)c1CCOCNC[C@H](O)CO,-6.002,-6.703341,-11.742171,-6.703341,1.7066,No_7_698,No_7_698_out,3.559
UNPDA_100,UNPDA_100_15,CNCC(=O)c1cccc(CN)c1-c1nnc(CCN)[nH]1,-5.622,-5.8720603,-12.780906,-5.8720603,1.8381002,No_8_119,No_8_119_out,3.153
UNPDA_100,UNPDA_100_16,NCCNCc1noc(C(=O)c2ccc(C(=O)OCC(=O)CCO)cc2O)n1,-6.507,-6.7534394,-12.575397,-6.7534394,2.0708272,No_8_338,No_8_338_out,2.854
UNPDA_100,UNPDA_100_17,O=C(CCO)COC(=O)c1ccc(C(=O)c2nnc(C(=O)O)o2)c(O)c1,-7.043,-6.8163915,-11.353155,-6.8163915,2.0607908,No_8_394,No_8_394_out,2.855
UNPDA_100,UNPDA_100_18,O=C(CCO)COC(=O)c1ccc(C(=O)c2nc(C(=O)O)no2)c(O)c1,-6.583,-6.2184191,-11.874306,-6.2184191,1.6162118,No_8_418,No_8_418_out,2.816
UNPDA_100,UNPDA_100_19,NCC[C@H](N)c1noc(C(=O)c2ccc(C(=O)OCC(=O)CCO)cc2O)n1,-6.422,-6.3334556,-13.149936,-6.3334556,2.1434636,No_8_421,No_8_421_out,3.429
UNPDA_100,UNPDA_100_20,NC(=O)[C@H](N)Cc1nnc(C(=O)c2ccc(C(=O)OCC(=O)CCO)cc2O)o1,-7.219,-6.2523084,-11.913537,-6.2523084,2.3279145,No_8_508,No_8_508_out,3.358
UNPDA_100,UNPDA_100_21,NCCC(=O)c1cccc(CN)c1-c1nnc(CCN)[nH]1,-5.504,-5.8013406,-13.896542,-5.8013406,3.3864009,No_8_542,No_8_542_out,3.105
UNPDA_100,UNPDA_100_22,NCC(CN)c1nnc(C(=O)c2ccc(C(=O)OCC(=O)CCO)cc2O)o1,-6.513,-6.687151,-13.776463,-6.687151,1.1379317,No_8_630,No_8_630_out,3.05
UNPDA_100,UNPDA_100_23,O=C(CCO)COC(=O)c1ccc(C(=O)c2nnc(-c3ccccc3O)o2)c(O)c1,-8.119,-6.1915359,-12.431697,-6.1915359,1.8322378,No_8_635,No_8_635_out,2.69
lig_7p2u,lig_7p2u,CN1CCC2(CC1)c1ccccc1N(Cc1ccc(C(=O)NO)s1)[C@@H]2c1cccc(Cl)c1,-7.459,-6.4713764,-10.798885,-6.4713764,1.6090615,lig_7p2u,lig_7p2u,3.71
