DATASET,ID,SMILES_Curado,Score_vina,S_moe,E_score1_moe,E_score2_moe,rmsd_refine_moe,ID_moe,ID_Score_Vina,SA score
LCS_100,LCS_100_1,N[C@H](CNC(=O)COc1cc(CCCC(=O)O)nc2[nH]ncc12)C(=O)O,-6.76,-7.0170493,-15.23613,-7.0170493,4.8775597,No_10_143,No_10_143_out,3.177
LCS_100,LCS_100_2,N[C@H](CCc1ccc(CNCCO)cc1O)NCCc1cc(CO)co1,-6.766,-6.6051097,-13.543118,-6.6051097,2.035224,No_10_223,No_10_223_out,3.417
LCS_100,LCS_100_3,COC(=O)Cc1ccc(CC[C@@H](N)NCCc2cc(CO)co2)c(O)c1,-6.775,-6.7365012,-12.146688,-6.7365012,1.9524652,No_10_225,No_10_225_out,3.366
LCS_100,LCS_100_4,NCC[C@H](NC(=O)Cc1ccccc1)c1n[nH]c(C(=O)c2cccc(N)c2)n1,-7.464,-6.7647891,-11.605201,-6.7647891,3.3221884,No_10_292,No_10_292_out,3.09
LCS_100,LCS_100_5,CCCCc1ccc(CC[C@@H](N)NCCc2cc(CO)co2)c(O)c1,-6.668,-6.6707492,-13.03148,-6.6707492,1.625654,No_10_335,No_10_335_out,3.309
LCS_100,LCS_100_6,CCCNCc1ccc(CC[C@@H](N)NCCc2cc(CO)co2)c(O)c1,-6.445,-6.930409,-12.313893,-6.930409,2.7801249,No_10_338,No_10_338_out,3.35
LCS_100,LCS_100_7,COCc1ccc(CC[C@@H](N)NCCc2cc(CO)co2)c(O)c1,-6.409,-6.7451425,-13.479849,-6.7451425,1.3399156,No_10_450,No_10_450_out,3.379
LCS_100,LCS_100_8,NCCc1ccc(CC[C@@H](N)NCCc2cc(CO)co2)c(O)c1,-6.635,-6.7562284,-12.847061,-6.7562284,1.6843038,No_10_518,No_10_518_out,3.421
LCS_100,LCS_100_9,NCCC(=O)N[C@@H](CCN)c1n[nH]c(C(=O)c2ccccc2N)n1,-6.417,-6.5960383,-13.375691,-6.5960383,1.0258293,No_10_74,No_10_74_out,3.374
LCS_100,LCS_100_10,NCCC(=O)N[C@@H](CCN)c1n[nH]c(C(=O)c2ccccc2)n1,-6.478,-6.4781537,-13.203804,-6.4781537,1.3270891,No_11_260,No_11_260_out,3.181
LCS_100,LCS_100_11,NCCNc1ccccc1C(=O)c1nc([C@H](CCN)NC(=O)CCN)n[nH]1,-6.284,-6.9830766,-14.479364,-6.9830766,1.1178275,No_11_414,No_11_414_out,3.42
LCS_100,LCS_100_12,NC[C@](N)(c1cccc(O)c1)c1n[nH]c(COC(=O)CCO)n1,-6.033,-6.1385622,-13.294333,-6.1385622,1.3837347,No_11_496,No_11_496_out,3.546
LCS_100,LCS_100_13,NC[C@](N)(c1cccc(N)c1)c1n[nH]c(COC(=O)CCO)n1,-6.058,-6.3227119,-12.330484,-6.3227119,2.4829121,No_11_630,No_11_630_out,3.56
LCS_100,LCS_100_14,[NH]c1cc(N)cc([C@@](N)(CN)c2n[nH]c(COC(=O)CCO)n2)c1,-6.079,-6.2350054,-12.049552,-6.2350054,1.8233814,No_12_154,No_12_154_out,4.124
LCS_100,LCS_100_15,NCCC(=O)N[C@@H](CCN)c1n[nH]c(C(=O)c2cccc(N)c2)n1,-6.821,-6.4447169,-15.428187,-6.4447169,1.0584582,No_12_180,No_12_180_out,3.373
LCS_100,LCS_100_16,NCCc1cc(O)cc([C@@](N)(CN)c2n[nH]c(COC(=O)CCO)n2)c1,-6.489,-6.6092577,-13.336788,-6.6092577,2.6083453,No_12_214,No_12_214_out,3.703
LCS_100,LCS_100_17,NCCc1cc(N)cc([C@@](N)(CN)c2n[nH]c(COC(=O)CCO)n2)c1,-6.228,-6.6101232,-12.70851,-6.6101232,1.6192162,No_12_249,No_12_249_out,3.716
LCS_100,LCS_100_18,NCCNCc1cc(O)cc([C@@](N)(CN)c2n[nH]c(COC(=O)CCO)n2)c1,-6.292,-7.1583219,-16.75938,-7.1583219,1.609497,No_12_389,No_12_389_out,3.713
LCS_100,LCS_100_19,CN(C(=N)N)c1cc(O)cc([C@@](N)(CN)c2n[nH]c(COC(=O)CCO)n2)c1,-6.924,-7.1953049,-14.33462,-7.1953049,1.880245,No_12_392,No_12_392_out,3.951
LCS_100,LCS_100_20,[NH]C(=O)c1nc([C@H](CCN)NC(=O)Cc2cccc(CCCN)c2)n[nH]1,-6.683,-6.9869781,-13.9596,-6.9869781,1.6378746,No_12_538,No_12_538_out,3.485
LCS_100,LCS_100_21,NC[C@](N)(c1cc(N)cc(C(=O)O)c1)c1n[nH]c(COC(=O)CCO)n1,-6.833,-6.6387067,-12.134757,-6.6387067,1.7755029,No_12_631,No_12_631_out,3.634
LCS_100,LCS_100_22,CCCc1ccc(CCN)cc1CC(=O)N[C@@H](CCN)c1n[nH]c(C([NH])=O)n1,-6.501,-6.8994393,-12.836101,-6.8994393,1.7630728,No_12_70,No_12_70_out,3.645
LCS_100,LCS_100_23,COCc1ccc(CCN)cc1CC(=O)N[C@@H](CCN)c1n[nH]c(C([NH])=O)n1,-6.483,-6.8989582,-13.675038,-6.8989582,1.5364414,No_12_701,No_12_701_out,3.67
LCS_100,LCS_100_24,CCOC(=O)Cc1cc(O)cc([C@@](N)(CN)c2n[nH]c(COC(=O)CCO)n2)c1,-6.421,-6.7163825,-12.024605,-6.7163825,1.5908803,No_12_71,No_12_71_out,3.615
LCS_100,LCS_100_25,[NH]c1ccc(NCCN)cc1[C@@](N)(CN)c1n[nH]c(COC(=O)CCO)n1,-5.595,-6.6480808,-12.442485,-6.6480808,1.8250068,No_13_164,No_13_164_out,3.973
LCS_100,LCS_100_26,CN(C(=N)Nc1ccccc1)c1cc(O)cc([C@@](N)(CN)c2n[nH]c(COC(=O)CCO)n2)c1,-7.115,-7.7051187,-13.452106,-7.7051187,1.9732351,No_13_177,No_13_177_out,3.855
LCS_100,LCS_100_27,CCC(=O)Cc1cc(N)cc([C@@](N)(CN)c2n[nH]c(COC(=O)CCO)n2)c1,-6.163,-6.9964423,-12.656806,-6.9964423,2.0774767,No_13_431,No_13_431_out,3.745
LCS_100,LCS_100_28,NCC[C@H](NC(=O)Cc1ccccc1)c1n[nH]c(C(=O)c2ccccc2)n1,-7.456,-6.7048912,-12.822317,-6.7048912,2.8464522,No_13_511,No_13_511_out,2.914
LCS_100,LCS_100_29,CCCCNc1cccc([C@@](N)(CN)c2n[nH]c(COC(=O)CCO)n2)c1,-6.238,-7.187326,-12.870298,-7.187326,2.6898839,No_13_561,No_13_561_out,3.44
LCS_100,LCS_100_30,CCC(=O)c1nc([C@H](CCN)NC(=O)Cc2cc(CNCO)ccc2CN)n[nH]1,-6.074,-7.341435,-14.465283,-7.341435,1.8055619,No_13_576,No_13_576_out,3.669
LCS_100,LCS_100_31,NCCNc1cccc([C@@](N)(CN)c2n[nH]c(COC(=O)CCO)n2)c1,-6.16,-6.597424,-12.358781,-6.597424,1.2373961,No_13_584,No_13_584_out,3.553
LCS_100,LCS_100_32,Nc1ccc(N(CC(=O)NCc2cnc[nH]2)c2cccc(C(=O)O)c2O)cc1O,-7.279,-6.1341648,-12.239433,-6.1341648,2.516207,No_3_439,No_3_439_out,2.838
LCS_100,LCS_100_33,O=C(Oc1ccc(O)c(NCCCCO)c1)c1ccc2oncc2c1,-7.179,-6.2856789,-10.533855,-6.2856789,1.0832962,No_5_279,No_5_279_out,2.533
LCS_100,LCS_100_34,NCc1cc(O)c([C@@H](N)CNc2cccc(C(=O)O)c2O)cn1,-6.213,-6.3938766,-13.211717,-6.3938766,1.2459735,No_5_347,No_5_347_out,3.242
LCS_100,LCS_100_35,NCNCCCNc1cc(OC(=O)n2cc3cncnc3n2)ccc1O,-6.497,-6.1940331,-12.722441,-6.1940331,4.2346559,No_5_490,No_5_490_out,3.163
LCS_100,LCS_100_36,CCCNc1cc(OC(=O)c2ccc3oncc3c2)ccc1O,-7.639,-5.8873081,-9.9118643,-5.8873081,1.2881767,No_5_679,No_5_679_out,2.461
