DATASET,ID,SMILES_Curado,Score_vina,S_moe,E_score1_moe,E_score2_moe,rmsd_refine_moe,ID_moe,ID_Score_Vina,SA score
UNPDA_1000,UNPDA_1000_76,NCc1cccc(CCn2nc([C@H](N)CO)c3c(=O)[nH]cnc32)c1CN,-6.764,-6.7147832,-15.138141,-6.7147832,2.1173029,No_7_473,No_7_473_out,3.626
UNPDA_1000,UNPDA_1000_77,CNC[C@](O)(CN)c1nnco1,-4.711,-5.1752758,-12.802241,-5.1752758,1.1061244,No_7_477,No_7_477_out,4.213
UNPDA_1000,UNPDA_1000_78,CC(=O)OCc1cc(CC(=O)O)cc([C@@H](O)CN)n1,-5.804,-6.1514783,-12.208508,-6.1514783,0.92121017,No_7_534,No_7_534_out,3.102
UNPDA_1000,UNPDA_1000_79,NCC(O)(CN)c1cc(CC(=O)O)ccn1,-5.285,-5.46873,-13.678067,-5.46873,1.5174978,No_7_574,No_7_574_out,2.849
UNPDA_1000,UNPDA_1000_80,NCc1cc(CC(=O)O)cc([C@@H](O)CN)n1,-5.819,-5.4475212,-11.703484,-5.4475212,2.1390274,No_7_730,No_7_730_out,3.244
UNPDA_1000,UNPDA_1000_81,CNC(=O)c1cc(CCNCN)cc([C@H](O)C(=O)O)n1,-6.19,-5.7716508,-12.502533,-5.7716508,2.3168426,No_8_133,No_8_133_out,3.388
UNPDA_1000,UNPDA_1000_82,Nc1cccc(Oc2ccccc2NC(=O)[C@](N)(CO)c2ncc(CO)o2)c1,-6.634,-6.1102395,-10.551729,-6.1102395,2.9470167,No_8_151,No_8_151_out,3.331
UNPDA_1000,UNPDA_1000_83,NCNCCC[C@@H](O)C(=O)Cc1cccc(C(=O)O)c1,-6.022,-6.1346254,-10.990111,-6.1346254,2.504065,No_8_154,No_8_154_out,2.938
UNPDA_1000,UNPDA_1000_84,N[C@H](Cc1cc(C(=O)O)cc(C(=O)O)c1)c1ccnc(O)n1,-7.195,-6.1018353,-14.519662,-6.1018353,1.0438141,No_8_174,No_8_174_out,3.097
UNPDA_1000,UNPDA_1000_85,NCc1cc(Nc2ccc(CCCNC(N)=O)cc2)ccc1CCO,-7.515,-7.4872909,-11.922716,-7.4872909,2.7875116,No_8_227,No_8_227_out,2.252
UNPDA_1000,UNPDA_1000_86,[NH]c1cc(NC(=O)Nc2cccc3ccccc23)ccc1O,-7.809,-5.4113064,-13.842332,-5.4113064,0.82698804,No_8_245,No_8_245_out,2.228
UNPDA_1000,UNPDA_1000_87,O=C(O)c1cc(CCO)cc(OCNCc2ncco2)c1,-6.222,-5.9137874,-9.3494511,-5.9137874,1.0386447,No_8_300,No_8_300_out,2.759
UNPDA_1000,UNPDA_1000_88,NCC(=O)c1cc(CO)cc(Nc2ccc(CCCNC(N)=O)cc2)c1,-7.44,-6.7353516,-11.383939,-6.7353516,1.9249301,No_8_312,No_8_312_out,2.315
UNPDA_1000,UNPDA_1000_89,[NH][C@@H](Cn1nc(CC(=O)O)c2c(=O)[nH]cnc21)c1ccccc1CN,-6.796,-5.9708419,-12.910687,-5.9708419,3.0964797,No_8_372,No_8_372_out,3.693
UNPDA_1000,UNPDA_1000_90,NCCN[C@@H](CCN)c1nn(CCc2ccccc2CN)c2nc[nH]c(=O)c12,-6.35,-6.9999943,-16.059658,-6.9999943,2.5756691,No_8_496,No_8_496_out,3.536
UNPDA_1000,UNPDA_1000_91,NCC(=O)c1cc(CN)cc(Nc2ccc(CCCNC(N)=O)cc2)c1,-7.328,-6.4753337,-13.059457,-6.4753337,1.617362,No_8_511,No_8_511_out,2.341
