DATASET,ID,SMILES_Curado,Score_vina,S_moe,E_score1_moe,E_score2_moe,rmsd_refine_moe,ID_moe,ID_Score_Vina,SA score
CRAFT_2000,CRAFT_2000_1,Nc1ccccc1C(=O)[C@@H](N)c1nc(CO)c(C(=O)O)[nH]1,-7.101,-5.6402254,-9.9605169,-5.6402254,1.4015803,No_10_108,No_10_108_out,3.407
CRAFT_2000,CRAFT_2000_2,NC(=O)NCc1ccc([C@@H](O)c2cnc(N)cc2OC(=O)CO)cc1,-7.823,-6.2047882,-11.17253,-6.2047882,2.5443838,No_10_118,No_10_118_out,3.078
CRAFT_2000,CRAFT_2000_3,NC[C@@](N)(c1cc(CC(N)=O)cc(C(=O)O)c1)c1nc(C(=O)O)c(C(=O)O)[nH]1,-6.839,-5.9545579,-12.279355,-5.9545579,3.2788649,No_10_130,No_10_130_out,3.558
CRAFT_2000,CRAFT_2000_4,CCOC[C@H](O)CCNc1cnc(N)cc1OC(=O)CO,-5.718,-6.0404143,-9.4866943,-6.0404143,0.88148093,No_10_148,No_10_148_out,3.317
CRAFT_2000,CRAFT_2000_5,NC[C@H](CO)c1cccc(OCC(=O)c2cc(OC(=O)CO)cc(N)n2)c1,-6.827,-7.104949,-11.703769,-7.104949,1.9303527,No_10_154,No_10_154_out,3.263
CRAFT_2000,CRAFT_2000_6,NCCOc1ccc(CN)c([C@@H](O)c2cnc(N)cc2OC(=O)CO)c1,-6.215,-6.4192858,-11.875801,-6.4192858,1.5472962,No_10_159,No_10_159_out,3.393
CRAFT_2000,CRAFT_2000_7,NC(=O)NCCc1ccc([C@@H](O)c2cnc(N)cc2OC(=O)CO)cc1,-7.785,-6.3478951,-10.219488,-6.3478951,1.3088658,No_10_162,No_10_162_out,3.087
CRAFT_2000,CRAFT_2000_8,Nc1cc(OC(=O)CO)c([C@H](O)c2ccccc2N)cn1,-6.68,-5.1252403,-9.2590265,-5.1252403,1.5917933,No_10_164,No_10_164_out,3.151
CRAFT_2000,CRAFT_2000_9,NC(=O)Nc1ccc(O)c([C@](N)(CO)c2nc(C(=O)O)c(C(=O)O)[nH]2)c1,-7.148,-5.8174372,-11.726408,-5.8174372,2.3111925,No_10_166,No_10_166_out,3.538
CRAFT_2000,CRAFT_2000_10,NC[C@@](N)(c1cc(N)cc(CCC(N)=O)c1)c1nc(C(=O)O)c(C(=O)O)[nH]1,-6.719,-6.4869943,-12.109344,-6.4869943,1.2480785,No_10_167,No_10_167_out,3.632
CRAFT_2000,CRAFT_2000_11,CCCCNCCc1cc(N)cc([C@](N)(CN)c2nc(C(=O)O)c(C(=O)O)[nH]2)c1,-7.119,-6.4777265,-14.771146,-6.4777265,2.9747987,No_10_174,No_10_174_out,3.588
