DATASET,ID,SMILES_Curado,Score_vina,S_moe,E_score1_moe,E_score2_moe,rmsd_refine_moe,ID_moe,ID_Score_Vina,SA score
UNPDA_2000,No_10_100,NCc1cn[nH]c1Nc1ccc(O)cc1CN[C@H](N)CO,-5.973,-6.0568094,-13.168694,-6.0568094,2.9709146,No_10_100,No_10_100_out,3.638
UNPDA_2000,No_10_103,NC(N)Nc1ccc(C(=O)c2[nH]c([C@H](N)CCCO)cc(=O)c2CO)cc1,-7.182,-6.6612759,-13.357363,-6.6612759,0.9143669,No_10_103,No_10_103_out,3.553
UNPDA_2000,No_10_112,NCCc1ccc(C(=O)c2[nH]c([C@H](N)CCOCCO)cc(=O)c2CO)cc1,-6.234,-6.5085621,-11.736268,-6.5085621,3.8637762,No_10_112,No_10_112_out,3.371
UNPDA_2000,No_10_122,NCCc1ccc(C(=O)c2[nH]c([C@H](N)CNCCO)cc(=O)c2CO)cc1,-6.671,-6.4135981,-13.954368,-6.4135981,2.7090559,No_10_122,No_10_122_out,3.387
UNPDA_2000,No_10_124,NCCc1cc(CNC(=O)CCO)c(C(=O)c2ccc(C(=O)CN)cc2O)o1,-6.463,-6.7981396,-11.956597,-6.7981396,1.8217094,No_10_124,No_10_124_out,2.904
UNPDA_2000,No_10_125,NCCc1ccc(C(=O)c2[nH]c([C@H](N)CCO)cc(=O)c2CO)cc1,-6.81,-6.0411406,-12.011577,-6.0411406,1.9081649,No_10_125,No_10_125_out,3.298
UNPDA_2000,No_10_127,COC[C@H](N)CC(=O)NCc1ccoc1C(=O)c1ccc(C(=O)CN)cc1O,-6.723,-6.4966702,-13.08652,-6.4966702,1.6456285,No_10_127,No_10_127_out,3.264
UNPDA_2000,No_10_128,NCc1nnc2nc(C(=O)CC(=O)c3cccc(CCCO)c3)ccn12,-7.277,-6.4681306,-11.936359,-6.4681306,1.1203413,No_10_128,No_10_128_out,2.778
UNPDA_2000,No_10_130,NCCNc1ccccc1C(=O)[C@H](N)CCc1nnc(CC(=O)O)[nH]1,-5.919,-6.3290639,-12.423691,-6.3290639,1.6981753,No_10_130,No_10_130_out,3.403
UNPDA_2000,No_10_134,CCCC(=O)NCc1cc(CCN)oc1C(=O)c1ccc(C(=O)CN)cc1O,-6.299,-6.8767891,-11.301461,-6.8767891,1.6000549,No_10_134,No_10_134_out,2.81
UNPDA_2000,No_10_137,COC(=O)c1ccc(C(=O)c2[nH]c([C@H](N)CCCO)cc(=O)c2CO)cc1,-6.93,-6.8612728,-14.22874,-6.8612728,2.6309345,No_10_137,No_10_137_out,3.209
UNPDA_2000,No_10_149,NC[C@@H](N)c1cc(=O)c(CO)c(C(=O)c2ccc(CCCO)cc2)[nH]1,-7.063,-6.2890053,-13.438475,-6.2890053,1.4912657,No_10_149,No_10_149_out,3.278
UNPDA_2000,No_10_155,NCC(=O)c1ccc(C(=O)c2occc2CNC[C@H](N)CCO)c(O)c1,-6.12,-6.5362306,-12.184715,-6.5362306,2.3108253,No_10_155,No_10_155_out,3.316
UNPDA_2000,No_10_165,NCC(=O)c1ccc(C(=O)c2oc(CN)cc2CNCCCCO)c(O)c1,-6.428,-6.8405972,-13.298525,-6.8405972,1.6794518,No_10_165,No_10_165_out,2.846
UNPDA_2000,No_10_225,CC(=O)N(c1cccc(CC(=O)c2nc(N)cc(C[C@H](O)C(=O)O)n2)c1)C(N)N,-7.571,-6.6466393,-13.176546,-6.6466393,1.6060621,No_10_225,No_10_225_out,3.643
UNPDA_2000,No_10_226,NCCC(=O)NCc1cc(CCN)oc1C(=O)c1ccc(C(=O)CN)cc1O,-5.9,-6.8775597,-13.051764,-6.8775597,1.8227429,No_10_226,No_10_226_out,2.894
UNPDA_2000,No_10_237,N[C@H](CCCO)c1cc(=O)c(CO)c(C(=O)c2ccc(OCCO)cc2)[nH]1,-6.594,-6.9965181,-12.471809,-6.9965181,1.2574203,No_10_237,No_10_237_out,3.277
UNPDA_2000,No_10_238,CCC(=O)NCc1cc(CCN)oc1C(=O)c1ccc(C(=O)CN)cc1O,-6.122,-6.9504151,-13.15144,-6.9504151,1.1999518,No_10_238,No_10_238_out,2.835
UNPDA_2000,No_10_242,COCc1ccc(C(=O)c2ccc(C(=O)[C@@H](N)CN)cc2O)o1,-6.637,-6.4567747,-11.876656,-6.4567747,1.6183416,No_10_242,No_10_242_out,3.025
UNPDA_2000,No_10_251,NCCc1cc(CNC(=O)CN)c(C(=O)c2ccc(C(=O)CN)cc2O)o1,-6.554,-6.3218708,-12.755018,-6.3218708,3.0058296,No_10_251,No_10_251_out,2.893
UNPDA_2000,No_10_254,COCc1cc(CNCCCCO)c(C(=O)c2ccc(C(=O)CN)cc2O)o1,-6.276,-6.7672987,-12.237022,-6.7672987,2.3948381,No_10_254,No_10_254_out,2.817
UNPDA_2000,No_10_264,NCNCCc1ccc(C(=O)c2[nH]c([C@H](N)CCCO)cc(=O)c2CO)cc1,-6.723,-7.0926003,-14.931113,-7.0926003,1.0509793,No_10_264,No_10_264_out,3.479
UNPDA_2000,No_10_265,NCCc1nnc(C(N)(N)c2cccc(N)c2)[nH]1,-6.084,-5.3700638,-13.788625,-5.3700638,1.8719279,No_10_265,No_10_265_out,3.321
UNPDA_2000,No_10_265,COCCOCC[C@@H](N)c1cc(=O)c(CO)c(C(=O)c2ccc(CCN)cc2)[nH]1,-6.084,-5.3700638,-13.788625,-5.3700638,1.8719279,No_10_265,No_10_265_out,3.34
UNPDA_2000,No_10_266,C[C@@H](N)c1cc(=O)c(CO)c(C(=O)c2ccc(CCN)c(CO)c2)[nH]1,-6.804,-6.1428747,-13.581582,-6.1428747,2.5332868,No_10_266,No_10_266_out,3.439
UNPDA_2000,No_10_301,NCc1nnc2nc(C(=O)CC(=O)c3cccc(Oc4cccc(N)c4)c3)ccn12,-8.065,-6.5399461,-10.968598,-6.5399461,1.5754592,No_10_301,No_10_301_out,2.765
UNPDA_2000,No_10_302,CCCNCC[C@@H](N)c1cc(=O)c(CO)c(C(=O)c2ccc(CCN)cc2)[nH]1,-6.22,-6.491622,-14.282727,-6.491622,2.2670162,No_10_302,No_10_302_out,3.325
UNPDA_2000,No_10_303,CC(=O)c1cc(CNCCCCO)c(C(=O)c2ccc(C(=O)CN)cc2O)o1,-6.444,-6.3487649,-12.526307,-6.3487649,1.2018372,No_10_303,No_10_303_out,2.845
UNPDA_2000,No_10_312,CNCc1cc(CNCCCCO)c(C(=O)c2ccc(C(=O)CN)cc2O)o1,-6.045,-6.5562878,-12.92422,-6.5562878,1.5308287,No_10_312,No_10_312_out,2.848
UNPDA_2000,No_10_324,CCNCCc1cccc(CC(=O)c2nc(N)cc(C[C@H](O)C(=O)O)n2)c1,-7.597,-6.7623816,-11.631721,-6.7623816,1.7154506,No_10_324,No_10_324_out,3.224
UNPDA_2000,No_10_327,NCc1nnc2nc(C(=O)CC(=O)c3cccc(NC(N)=O)c3)ccn12,-7.629,-6.8737788,-11.755194,-6.8737788,1.7778043,No_10_327,No_10_327_out,2.768
UNPDA_2000,No_10_328,CCCCc1cccc([C@@H](OCN)c2coc(CC(N)=O)c(O)c2=O)c1,-7.038,-6.9165854,-11.246606,-6.9165854,2.3285062,No_10_328,No_10_328_out,3.516
UNPDA_2000,No_10_332,Nc1ccc(CO)cc1C(=O)[C@H](N)CCc1nnc(CC(=O)O)[nH]1,-7.142,-6.2092891,-10.605053,-6.2092891,0.86024982,No_10_332,No_10_332_out,3.523
UNPDA_2000,No_10_332,CNC(=O)c1cc(C(=O)CN)ccc1-c1nnc(CN)n1CC(=O)CN,-7.142,-6.2092891,-10.605053,-6.2092891,0.86024982,No_10_332,No_10_332_out,2.913
UNPDA_2000,No_10_335,C[C@@H](N)c1cc(=O)c(CO)c(C(=O)c2ccc(CCN)c(N)c2)[nH]1,-7.031,-6.0959058,-14.20279,-6.0959058,1.2122281,No_10_335,No_10_335_out,3.427
UNPDA_2000,No_10_336,NCc1cc(CNCC(N)=O)c(C(=O)c2ccc(C(=O)C(N)N)cc2O)o1,-7.148,-6.06847,-14.495881,-6.06847,2.0636661,No_10_336,No_10_336_out,3.118
UNPDA_2000,No_10_341,NCc1nnc2nc(C(=O)CC(=O)c3cccc(CNC(N)=O)c3)ccn12,-8.062,-6.6259031,-10.889707,-6.6259031,1.8559688,No_10_341,No_10_341_out,2.8
UNPDA_2000,No_10_352,NCCc1ccc(C(=O)c2[nH]c([C@H](N)COCC(=O)O)cc(=O)c2CO)cc1,-6.406,-6.4449973,-12.94955,-6.4449973,2.1331377,No_10_352,No_10_352_out,3.373
UNPDA_2000,No_10_356,CCc1cc(N)cc([C@@H](OCN)c2coc(CC(N)=O)c(O)c2=O)c1,-6.971,-6.1847749,-11.727276,-6.1847749,1.0075562,No_10_356,No_10_356_out,3.806
UNPDA_2000,No_10_364,C[C@@H](N)c1cc(=O)c(CO)c(C(=O)c2ccc(CCN)c(CCCO)c2)[nH]1,-7.107,-6.6825638,-13.648023,-6.6825638,1.6325618,No_10_364,No_10_364_out,3.453
UNPDA_2000,No_10_365,NCCc1ccc(C(=O)c2[nH]c([C@H](N)CCOCN)cc(=O)c2CO)cc1,-6.547,-6.5665298,-13.882932,-6.5665298,2.0739188,No_10_365,No_10_365_out,3.54
UNPDA_2000,No_10_372,C[C@@H](N)c1cc(=O)c(CO)c(C(=O)c2ccc(CCN)cc2NC(N)=O)[nH]1,-6.702,-6.42695,-12.750535,-6.42695,2.1756227,No_10_372,No_10_372_out,3.433
UNPDA_2000,No_10_376,CCc1cc(CNCC(=O)CN)c(C(=O)c2ccc(C(=O)[C@@H](N)CN)cc2O)o1,-6.531,-6.6031981,-12.457103,-6.6031981,2.2793648,No_10_376,No_10_376_out,3.567
UNPDA_2000,No_10_383,CCNC[C@@H](N)c1cc(=O)c(CO)c(C(=O)c2ccc(CCN)cc2)[nH]1,-6.544,-6.2707667,-12.656131,-6.2707667,2.4505785,No_10_383,No_10_383_out,3.348
UNPDA_2000,No_10_387,CCCCCCc1ccc(C(=O)c2[nH]c([C@H](N)CCCO)cc(=O)c2CO)cc1,-6.659,-6.8359413,-13.024274,-6.8359413,2.2059824,No_10_387,No_10_387_out,3.205
UNPDA_2000,No_10_394,C[C@@H](N)c1cc(=O)c(CO)c(C(=O)c2ccc(CCN)cc2N)[nH]1,-6.789,-6.259264,-13.397231,-6.259264,2.1533663,No_10_394,No_10_394_out,3.433
UNPDA_2000,No_10_398,CNCC(=O)NCc1cc(CCN)oc1C(=O)c1ccc(C(=O)CN)cc1O,-6.452,-6.5752492,-13.114616,-6.5752492,1.9963533,No_10_398,No_10_398_out,2.91
UNPDA_2000,No_10_398,NCCc1ccc(C(=O)c2[nH]c([C@H](N)CCOC(=O)CO)cc(=O)c2CO)cc1,-6.452,-6.5752492,-13.114616,-6.5752492,1.9963533,No_10_398,No_10_398_out,3.439
UNPDA_2000,No_10_402,NCCCc1cccc(C(=O)CC(=O)c2ccn3c(CN)nnc3n2)c1,-7.105,-6.6709762,-14.149439,-6.6709762,1.6099641,No_10_402,No_10_402_out,2.793
UNPDA_2000,No_10_405,Nc1cc(C[C@H](O)C(=O)O)nc(CCOc2ccccc2)n1,-6.709,-6.2815857,-10.614878,-6.2815857,1.0786458,No_10_405,No_10_405_out,2.851
UNPDA_2000,No_10_410,CCc1cc(CCN)oc1C(=O)c1ccc(C(=O)[C@@H](N)CN)cc1O,-6.335,-6.2426748,-13.942545,-6.2426748,2.607168,No_10_410,No_10_410_out,3.362
UNPDA_2000,No_10_413,CCc1cc(CNCCN)c(C(=O)c2ccc(C(=O)CN)cc2O)o1,-6.511,-5.8632188,-14.470452,-5.8632188,1.1570089,No_10_413,No_10_413_out,2.841
UNPDA_2000,No_10_432,NCCC(=O)c1ccc(C(=O)c2oc(CN)cc2COCN)c(O)c1,-6.431,-6.4344993,-13.48414,-6.4344993,0.93841332,No_10_432,No_10_432_out,3.028
UNPDA_2000,No_10_434,CNC[C@](O)(Cc1cc(N)nc(CCO)n1)C(=O)O,-5.837,-5.7795811,-11.176251,-5.7795811,1.2383041,No_10_434,No_10_434_out,3.676
UNPDA_2000,No_10_460,COCc1nc(N)cc(C[C@@](O)(CN)C(=O)O)n1,-5.579,-5.53862,-11.147522,-5.53862,2.9137185,No_10_460,No_10_460_out,3.566
