DATASET,ID,SMILES_Curado,Score_vina,S_moe,E_score1_moe,E_score2_moe,rmsd_refine_moe,ID_moe,ID_Score_Vina,SA score
LCS_1000,LCS_1000_1,CC(=O)CCOCc1cc(-c2n[nH]c(O)c2CNC(N)=O)ccc1C(=O)CN,-7.74,-6.4722114,-12.889803,-6.4722114,1.2401022,No_10_107,No_10_107_out,3.103
LCS_1000,LCS_1000_2,CCCCn1ccc([C@@](O)(CO)CCN)n1,-5.546,-5.6370564,-13.512144,-5.6370564,1.0034766,No_10_112,No_10_112_out,3.401
LCS_1000,LCS_1000_3,CCN(C(=O)CNC(=O)CNC(=O)C[NH])c1cccc(-c2ccc[nH]2)c1,-6.687,-6.1491227,-11.803118,-6.1491227,2.5775714,No_10_119,No_10_119_out,2.85
LCS_1000,LCS_1000_4,[NH][C@H](C(N)=O)C(=O)OCc1ccc(CCn2ncoc2=O)c(C(=O)CN)c1,-6.967,-6.7005095,-11.121212,-6.7005095,1.8585159,No_10_177,No_10_177_out,3.835
LCS_1000,LCS_1000_5,CCn1cc([C@@](O)(CO)CCN)nn1,-5.263,-5.4119825,-10.59846,-5.4119825,0.98734474,No_10_191,No_10_191_out,3.68
LCS_1000,LCS_1000_6,NCC[C@](O)(CO)c1ccn(CCc2ccccc2)n1,-6.941,-5.9034977,-12.76011,-5.9034977,1.8326532,No_10_201,No_10_201_out,3.043
LCS_1000,LCS_1000_7,CC[C@@H](Cc1ccc(COC(=O)CC(N)=O)cc1C(=O)CN)n1ncoc1=O,-6.983,-6.1886373,-10.361989,-6.1886373,2.5397632,No_10_212,No_10_212_out,3.712
LCS_1000,LCS_1000_8,NCNCCOCc1cc(-c2n[nH]c(O)c2CNC(N)=O)ccc1C(=O)CN,-7.004,-6.6479764,-13.36949,-6.6479764,2.1709177,No_10_219,No_10_219_out,3.259
LCS_1000,LCS_1000_9,CCN(C(=O)CNC(=O)CNC(=O)C[NH])c1ccc([NH])c(-c2ccc[nH]2)c1,-6.914,-6.6399312,-10.166574,-6.6399312,1.6849564,No_10_228,No_10_228_out,3.327
LCS_1000,LCS_1000_10,CCCCCCCc1ccc(CCn2ncoc2=O)c(C(=O)[C@H](N)CN)c1,-6.026,-7.0460153,-12.056306,-7.0460153,1.9603863,No_10_241,No_10_241_out,3.43
LCS_1000,LCS_1000_11,CCN(CCN)[C@H](CN)c1cc(C(=O)O)c[nH]1,-5.277,-5.5631762,-14.014168,-5.5631762,1.9415441,No_10_286,No_10_286_out,3.524
LCS_1000,LCS_1000_12,NCCCCC(=O)Cc1ccc(CCn2ncoc2=O)c(C(=O)[C@H](N)CN)c1,-6.21,-7.1637216,-13.503675,-7.1637216,1.610319,No_10_332,No_10_332_out,3.628
LCS_1000,LCS_1000_13,NCCCNCOC(=O)c1ccc(-c2n[nH]c(O)c2CNC(N)=O)cc1CN,-7.18,-6.6513743,-16.286467,-6.6513743,1.4956365,No_10_35,No_10_35_out,3.176
LCS_1000,LCS_1000_14,CCN(CCCN)Cc1ccc(CCn2ncoc2=O)c(C(=O)[C@@H](O)CO)c1,-6.315,-7.3333983,-12.03061,-7.3333983,2.7403066,No_10_395,No_10_395_out,3.624
LCS_1000,LCS_1000_15,NCCCNCC(=O)Cc1ccc(CCn2ncoc2=O)c(C(=O)[C@H](N)CN)c1,-6.066,-7.4346733,-14.831422,-7.4346733,0.99478656,No_10_465,No_10_465_out,3.739
LCS_1000,LCS_1000_16,CCN(CCCN)Cc1ccc(C[C@H](C(=O)O)n2ncoc2=O)c(C(=O)CO)c1,-5.989,-6.7901683,-12.936224,-6.7901683,1.7341887,No_10_477,No_10_477_out,3.605
LCS_1000,LCS_1000_17,CCN(CC(=O)O)Cc1ccc(CCn2ncoc2=O)c(C(=O)[C@H](N)CN)c1,-6.343,-7.2186899,-12.454661,-7.2186899,3.0081308,No_10_484,No_10_484_out,3.597
LCS_1000,LCS_1000_18,[NH]CCNCC[C@@H]([NH])c1n[nH]c(Cc2ccc(CCCN)cc2)c1CO,-6.524,-6.5785394,-13.474179,-6.5785394,2.890862,No_10_537,No_10_537_out,3.845
