DATASET,ID,SMILES_Curado,Score_vina,S_moe,E_score1_moe,E_score2_moe,rmsd_refine_moe,ID_moe,ID_Score_Vina,SA score
CRAFT_1000,CRAFT_1000_201,NCc1cccc(C(N)N)c1C(=O)c1cncc(Nc2cc(CO)ccc2O)c1,-6.808,-6.7811193,-15.864643,-6.7811193,1.5346767,No_7_388,No_7_388_out,2.839
CRAFT_1000,CRAFT_1000_202,CCC(=O)NC(=O)[C@@H](Cc1ncc(Nc2ccccc2O)cc1C(=O)CN)NCCCN,-6.94,-6.8617449,-11.476292,-6.8617449,2.0988386,No_7_408,No_7_408_out,3.362
CRAFT_1000,CRAFT_1000_203,NC[C@H](CO)n1nc(CCc2ccc(O)c(N)c2)oc1=O,-6.721,-5.9937,-12.298182,-5.9937,1.9851955,No_7_665,No_7_665_out,3.497
CRAFT_1000,CRAFT_1000_204,CC[C@H](N)c1cccc(C(=O)c2cncc(Nc3cc(CCCO)ccc3O)c2)c1,-7.897,-7.0809889,-11.008767,-7.0809889,2.6428106,No_7_678,No_7_678_out,2.958
CRAFT_1000,CRAFT_1000_205,NC[C@@H](NC(=O)Nc1ccccc1)c1ccc(CO)o1,-6.481,-6.0032139,-11.45039,-6.0032139,1.3825775,No_7_762,No_7_762_out,2.687
CRAFT_1000,CRAFT_1000_206,[NH]c1cnc(N[C@@H](CO)CNc2ccccc2O)nc1NC(=O)CN,-6.178,-6.4214377,-13.182205,-6.4214377,2.816927,No_8_106,No_8_106_out,3.517
CRAFT_1000,CRAFT_1000_207,[NH]CCc1cc(C(=O)O)[nH]c1COCCc1ccc([C@H](N)CC(=O)O)cc1,-7.154,-7.233017,-15.156876,-7.233017,1.6061333,No_8_108,No_8_108_out,3.509
CRAFT_1000,CRAFT_1000_208,[NH]c1cnc(NCC(CO)CO)nc1NC(=O)CN,-5.359,-5.9640532,-11.054738,-5.9640532,1.1517082,No_8_142,No_8_142_out,3.314
CRAFT_1000,CRAFT_1000_209,[NH][C@H](CCO)c1ccc(O)c(Nc2cncc(C(=O)c3cccc(CN)c3)c2)c1,-7.673,-6.7434912,-13.170337,-6.7434912,1.8472084,No_8_145,No_8_145_out,3.286
CRAFT_1000,CRAFT_1000_210,[NH]c1ccc(CN)cc1C(=O)c1cncc(Nc2cc(CCCO)ccc2O)c1,-7.552,-6.4198513,-12.209792,-6.4198513,1.9330001,No_8_152,No_8_152_out,2.871
CRAFT_1000,CRAFT_1000_211,NCc1ccc(CCO)c(C(=O)c2cncc(Nc3cc(CCCO)ccc3O)c2)c1,-7.27,-7.204886,-11.515005,-7.204886,1.5650262,No_8_162,No_8_162_out,2.653
CRAFT_1000,CRAFT_1000_212,NCc1cccc(C(=O)c2cncc(Nc3cc(CC(CO)CO)ccc3O)c2)c1,-7.995,-7.0575814,-14.645177,-7.0575814,1.9842831,No_8_176,No_8_176_out,2.63
CRAFT_1000,CRAFT_1000_213,CC(=O)c1nonc1-c1ccc(C(=O)O)c(OC(=O)CN)c1,-6.384,-5.9023194,-10.095635,-5.9023194,2.2474103,No_8_196,No_8_196_out,2.692
CRAFT_1000,CRAFT_1000_214,CCCC(=O)[C@@]([NH])(Cc1ccc(Nc2cc(CO)ccc2O)cn1)C(=O)CC(=O)O,-6.482,-6.9177651,-11.501983,-6.9177651,1.8399775,No_8_223,No_8_223_out,3.619
CRAFT_1000,CRAFT_1000_215,Nc1cccc(O)c1NC(=O)Cn1cnnc1[C@H](N)CNCC(=O)O,-5.694,-6.3454142,-13.675765,-6.3454142,4.1548066,No_8_246,No_8_246_out,3.336
CRAFT_1000,CRAFT_1000_216,C[C@H](O)c1cc(CC(=O)O)ccc1Nc1cc(NC(N)=O)cc(C(=O)O)c1,-7.4,-6.2335339,-12.363337,-6.2335339,2.3062489,No_8_265,No_8_265_out,2.819
CRAFT_1000,CRAFT_1000_217,N[C@H](CNCC(=O)O)c1nonc1C(=O)c1ccccc1,-6.005,-6.0563879,-11.692007,-6.0563879,1.7558337,No_8_288,No_8_288_out,3.14
CRAFT_1000,CRAFT_1000_218,C[C@H](C(=O)O)c1ccc(CCOCc2[nH]c(C(=O)O)cc2CC[NH])cc1,-6.91,-6.8490477,-11.963243,-6.8490477,3.0069442,No_8_289,No_8_289_out,3.457
CRAFT_1000,CRAFT_1000_219,NCOCCCCC(=O)Cc1nnc(-c2cccc(CN)c2OCN)o1,-5.407,-6.6050038,-13.62142,-6.6050038,1.7765069,No_8_341,No_8_341_out,3.035
CRAFT_1000,CRAFT_1000_220,NCC(=O)Oc1cc(-c2nonc2CN)ccc1C(=O)O,-6.325,-6.0195436,-12.217494,-6.0195436,1.0673815,No_8_411,No_8_411_out,2.763
CRAFT_1000,CRAFT_1000_221,NCc1cc(O)cc([C@@](O)(CO)c2cccc(C(=O)O)c2)n1,-7.691,-5.8909259,-12.976329,-5.8909259,1.3212136,No_8_443,No_8_443_out,3.278
CRAFT_1000,CRAFT_1000_222,[NH][C@@H](CO)CCc1c(CC(=O)c2cc(O)cc(NC(N)=O)c2)n[nH]c1N,-7.411,-6.5165,-12.707733,-6.5165,1.8255926,No_8_52,No_8_52_out,3.816
CRAFT_1000,CRAFT_1000_223,NCCCNCCc1nc(-c2c(O)cccc2CN)no1,-5.183,-6.3071423,-14.20345,-6.3071423,1.2838587,No_8_532,No_8_532_out,2.603
CRAFT_1000,CRAFT_1000_224,[NH]c1cnc(NC[C@H](CN)CO)nc1NC(=O)CN,-5.418,-5.8815479,-13.52927,-5.8815479,1.5093207,No_8_608,No_8_608_out,3.777
CRAFT_1000,CRAFT_1000_225,NCOc1c(CN)cccc1-c1nnc(CC(=O)CCCCC(=O)O)o1,-5.687,-6.7188659,-11.880206,-6.7188659,1.6972635,No_8_617,No_8_617_out,2.762
CRAFT_1000,CRAFT_1000_226,CCc1cccc(C(=O)O)c1Nc1ncc([NH])c(NC(=O)CN)n1,-6.473,-5.8580017,-11.227966,-5.8580017,4.1989489,No_8_686,No_8_686_out,2.899
CRAFT_1000,CRAFT_1000_227,O=C(NCCCNc1ccc(CO)cc1C(=O)O)c1cnc(O)c(C(=O)O)c1,-7.359,-7.025939,-11.27774,-7.025939,1.3575617,No_8_710,No_8_710_out,2.517
CRAFT_1000,CRAFT_1000_228,[NH][C@@](CCN)(Cc1ncc(Nc2ccccc2O)cc1NC(N)=O)C(=O)CO,-5.93,-6.1975031,-13.870665,-6.1975031,1.1946286,No_8_729,No_8_729_out,3.696
CRAFT_1000,CRAFT_1000_229,CNC[C@](O)(CO)c1cc(O)cc(CCO)n1,-5.767,-5.5363555,-12.101813,-5.5363555,1.1409305,No_8_743,No_8_743_out,3.744
CRAFT_1000,CRAFT_1000_230,CCCCCCNCCc1nc(-c2c(O)cccc2CN)no1,-5.947,-6.4013963,-12.127377,-6.4013963,1.4506097,No_9_107,No_9_107_out,2.478
CRAFT_1000,CRAFT_1000_231,NC[C@H](C(=O)c1ccc(O)cc1)n1nc(CO)oc1=O,-6.616,-5.0972252,-13.218987,-5.0972252,1.4888763,No_9_116,No_9_116_out,3.392
CRAFT_1000,CRAFT_1000_232,[NH]c1cnc(Nc2cc(C(=O)O)ccc2N)nc1NC(=O)CO,-7.099,-6.1040568,-10.99799,-6.1040568,1.7536064,No_9_134,No_9_134_out,2.841
CRAFT_1000,CRAFT_1000_233,[NH]CC(=O)c1nonc1-c1ccc(C(=O)O)c(OC(=O)CN)c1,-6.084,-5.9668264,-10.365426,-5.9668264,1.902249,No_9_137,No_9_137_out,3.11
CRAFT_1000,CRAFT_1000_234,C[C@H](NCO)c1ccc(O)c(Nc2cncc(C(=O)c3cccc(CN)c3)c2)c1,-7.874,-6.7570744,-14.527732,-6.7570744,2.1441562,No_9_140,No_9_140_out,3.054
CRAFT_1000,CRAFT_1000_235,NCCC[C@H](N)C(=O)Nc1cc(CN)c2cn[nH]c2c1,-6.004,-6.0021095,-12.706566,-6.0021095,0.94219679,No_9_161,No_9_161_out,3.029
CRAFT_1000,CRAFT_1000_236,NCC(=O)Oc1cc(-c2nonc2C(=O)CCCCCO)ccc1C(=O)O,-5.735,-6.4474463,-10.900096,-6.4474463,1.3525115,No_9_188,No_9_188_out,2.768
CRAFT_1000,CRAFT_1000_237,CCOC(=O)Cc1ccccc1[C@@H](O)c1cc(O)cc(CCCN)n1,-6.109,-6.341897,-10.12966,-6.341897,3.4689555,No_9_208,No_9_208_out,3.136
CRAFT_1000,CRAFT_1000_238,NCNCc1cnccc1NC(=O)CNc1ccc(CO)c(CO)c1,-6.416,-6.89782,-12.728674,-6.89782,1.9011362,No_9_218,No_9_218_out,2.675
CRAFT_1000,CRAFT_1000_239,NCc1cccc(C(=O)c2cncc(Nc3cc(CO)ccc3O)c2)c1,-7.857,-6.4917483,-12.553866,-6.4917483,1.8238786,No_9_233,No_9_233_out,2.352
CRAFT_1000,CRAFT_1000_240,NCC(=O)[C@H](N)c1n[nH]c2ccc(CCCCCO)nc12,-6.113,-6.304882,-15.263189,-6.304882,1.4287035,No_9_243,No_9_243_out,3.503
CRAFT_1000,CRAFT_1000_241,CNCNCc1cc([C@H](N)Oc2ccc(Nc3ccccc3)cc2)[nH]c1C(=O)O,-8.099,-6.8487811,-12.982557,-6.8487811,2.0198097,No_9_247,No_9_247_out,3.345
CRAFT_1000,CRAFT_1000_242,NC[C@H](N)C(=O)Oc1ccc(CCc2cncc(NC(N)=O)c2)cc1C(=O)O,-7.67,-6.3544898,-12.324958,-6.3544898,3.445658,No_9_262,No_9_262_out,3.06
